#{"t_start": 1752083390.4125154, "env_id": "None"}
r,l,t
-0.835516,10,13.219598
-0.835516,10,13.235501
-0.835516,10,13.235501
-0.835516,10,13.25133
-0.835516,10,13.25133
-0.835516,10,13.25133
-0.835516,10,13.267263
-0.835516,10,13.267263
-0.835516,10,13.267263
-0.835516,10,13.283374
-0.835516,10,13.283374
-0.835516,10,13.297138
-0.835516,10,13.299268
-0.835516,10,13.299268
-0.835516,10,13.299268
-0.835516,10,13.315308
-0.835516,10,13.324401
-0.835516,10,13.324401
-0.835516,10,13.331177
-0.835516,10,13.331177
-0.835516,10,13.34698
-0.835516,10,13.34698
-0.835516,10,13.34698
-0.835516,10,13.363099
-0.835516,10,13.363099
-0.835516,10,13.363099
-0.835516,10,13.379081
-0.835516,10,13.379081
-0.835516,10,13.379081
-0.835516,10,13.498821
-0.835516,10,13.498821
-0.835516,10,13.498821
-0.835516,10,13.51778
-0.835516,10,13.522794
-0.835516,10,13.528788
-0.835516,10,13.534491
-0.835516,10,13.539485
-0.835516,10,13.54549
-0.835516,10,13.546896
-0.835516,10,13.546896
-0.835516,10,13.546896
-0.835516,10,13.562648
-0.835516,10,13.562648
-0.835516,10,13.578402
-0.835516,10,13.578402
-0.835516,10,13.578402
-0.835516,10,13.594413
-0.835516,10,13.597811
-0.835516,10,13.597811
-0.835516,10,13.610409
-0.835516,10,13.610409
-0.835516,10,13.610409
-0.835516,10,13.626174
-0.835516,10,15.009277
-0.835516,10,15.009277
-0.835516,10,15.025414
-0.835516,10,15.025414
-0.835516,10,15.025414
-0.835516,10,15.041589
-0.835516,10,15.041589
-0.835516,10,15.041589
-0.835516,10,15.06027
-0.835516,10,15.06027
-0.835516,10,15.073487
-0.835516,10,15.073487
-0.835516,10,15.073487
-0.835516,10,15.091633
-0.835516,10,15.091633
-0.835516,10,15.100278
-0.835516,10,15.106577
-0.835516,10,15.114702
-0.835516,10,15.120698
-0.835516,10,15.126709
-0.835516,10,15.130243
-0.835516,10,15.130243
-0.835516,10,15.130243
-0.835516,10,15.145619
-0.835516,10,15.145619
-0.835516,10,15.161531
-0.835516,10,15.161531
-0.835516,10,15.161531
-0.835516,10,15.177768
-0.835516,10,15.177768
-0.835516,10,15.177768
-0.835516,10,15.193622
-0.835516,10,15.200717
-0.835516,10,15.200717
-0.835516,10,15.209394
